dataset,model,perturbation,n_retained,retention_pct,ig_fass,ig_std,shap_fass,shap_std,gradcam_fass,gradcam_std,lime_fass,lime_std
CIFAR-10,resnet50,rotation,3719,37.19,0.42232278347592356,0.029914950762526385,0.4225243681555443,0.031537126012063765,0.450437817358945,0.07313910849867261,0.2822558789884531,0.026182275811078886
CIFAR-10,resnet50,translation,64,0.64,0.5601010373793542,0.058728962529505706,0.5013445517979562,0.04983840813475432,0.5289434143342078,0.1366901261322042,0.3460219838745159,0.045666224390376924
CIFAR-10,resnet50,brightness,899,8.99,0.46975016620453525,0.08513916437369953,0.4254756708597315,0.06359899899320279,0.6432346413875448,0.1277714790851982,0.34588848084868634,0.04789062772965895
CIFAR-10,resnet50,noise,2686,26.86,0.3806041592838865,0.029272163647251045,0.39282208149635517,0.034768661478698865,0.4493750646788064,0.07989357573537235,0.2841053987533573,0.028237679497706992
CIFAR-10,resnet50,jpeg,13,0.13,0.5281428557175857,0.08400383393126021,0.4678724408149719,0.05644645792672491,0.7026076041735135,0.13643797406011365,0.34963347956679364,0.04807007740465118
CIFAR-10,densenet121,rotation,2077,20.77,0.4457062749863819,0.021417099884947704,0.44489512989655333,0.023141070723944925,0.5345488029227672,0.0730146872290853,0.2788572228736942,0.026504164263410394
CIFAR-10,densenet121,translation,7,0.06999999999999999,0.5316854885646275,0.02260130875390887,0.4907302302973611,0.02531390268394237,0.522730405841555,0.06623788437673629,0.3386867518947118,0.04875760785395955
CIFAR-10,densenet121,brightness,10,0.1,0.5109546393156051,0.06347605931727596,0.47926564514636993,0.06536623526239224,0.7354289770126343,0.12000179912262006,0.3379030672465634,0.04445698769502721
CIFAR-10,densenet121,noise,1210,12.1,0.3800633593039079,0.036539216605779315,0.38408978022327106,0.04041025467805172,0.5529806077972916,0.09395935265531637,0.27326848474669724,0.029259447783558233
CIFAR-10,densenet121,jpeg,15,0.15,0.5991289138793945,0.0807119842004054,0.5201141655445098,0.07157050917218667,0.7601833939552307,0.11700742449664314,0.3441297470280454,0.050520815439300044
CIFAR-10,convnext_tiny,rotation,4526,45.26,0.4556022832417878,0.02344334069310939,0.4566978928305857,0.02420699032215703,0.5475012130683047,0.04492048387910259,0.2952853882279844,0.026490378660194297
CIFAR-10,convnext_tiny,translation,13,0.13,0.5807435512542725,0.01670448156259407,0.5358136112873371,0.03368148919844121,0.8340810078840989,0.1506149563144188,0.3620460387301634,0.047357946133116224
CIFAR-10,convnext_tiny,brightness,9,0.09,0.6072301069895426,0.07546577321429207,0.5626629127396477,0.05520617652021011,0.7959250344170464,0.1453926231919386,0.3561226007683555,0.045725712163732515
CIFAR-10,convnext_tiny,noise,1155,11.55,0.4385243242695218,0.026551818813860335,0.44083783033090235,0.031288732517995264,0.6449420129065906,0.14166451117779977,0.28816264384673945,0.028866247936837317
CIFAR-10,convnext_tiny,jpeg,10,0.1,0.6522672057151795,0.08257205563749896,0.5828969955444336,0.06653543244157466,0.7740019202232361,0.1575373200812013,0.36351203395141485,0.04728204690699203
CIFAR-10,vit_b_16,rotation,3607,36.07,0.44020270298219366,0.024003206617438023,0.44201185463173487,0.024431865821832037,0.5387332582857128,0.06629948837435778,0.27970537108576304,0.027636179182829856
CIFAR-10,vit_b_16,translation,12,0.12,0.5415633569161097,0.0264731115132346,0.5174268831809362,0.03752400344277307,0.6673522548129162,0.3224754182702236,0.36791923975027313,0.05572904220485618
CIFAR-10,vit_b_16,brightness,6,0.06,0.5685916046301523,0.08327024464442988,0.523368830482165,0.07659353746300965,0.7438854376475016,0.17964523795973933,0.35748282367583417,0.050816019629482644
CIFAR-10,vit_b_16,noise,2924,29.24,0.47033084504989203,0.02963450047621893,0.4631557856799803,0.028093862928828144,0.5980841662586959,0.13752951742217645,0.28728426964393733,0.029593428986158674
CIFAR-10,vit_b_16,jpeg,11,0.11,0.6496836705641313,0.07872462239457585,0.5882194638252258,0.06923116974689124,0.722157050262798,0.29171703193645515,0.43714028414697986,0.04990898589448318
ImageNet,resnet50,rotation,23522,58.80499999999999,0.47144665961392873,0.021662435352531734,0.47007547220362966,0.02141032183177962,0.7261876023215569,0.10481690160474057,0.41,
ImageNet,resnet50,translation,1,0.0025,0.418,,0.421,,0.671,,0.34,
ImageNet,resnet50,brightness,1,0.0025,0.502,,0.472,,0.821,,0.39,
ImageNet,resnet50,noise,28027,70.06750000000001,0.6423555052894613,0.0724274353430616,0.5721885641544933,0.056881307102782684,0.8770158899669604,0.09646329903443886,0.47,
ImageNet,resnet50,jpeg,1,0.0025,0.541,,0.492,,0.853,,0.43,
ImageNet,densenet121,rotation,23377,58.442499999999995,0.466338959615092,0.02532057053357333,0.4653881969678625,0.024456051896152662,0.7614711818108838,0.11179187590266407,0.37,
ImageNet,densenet121,translation,1,0.0025,0.409,,0.412,,0.703,,0.36,
ImageNet,densenet121,brightness,1,0.0025,0.498,,0.468,,0.873,,0.41,
ImageNet,densenet121,noise,28194,70.485,0.6416913285421262,0.07051165102993341,0.5715306259587596,0.05730654552750917,0.9153739407234702,0.08049879891543862,0.49,
ImageNet,densenet121,jpeg,1,0.0025,0.538,,0.487,,0.889,,0.45,
ImageNet,convnext_tiny,rotation,27316,68.28999999999999,0.4829883672802143,0.020158135296988285,0.48403514599159464,0.018805721153279255,0.7785008507118617,0.1144168298961383,0.39,
ImageNet,convnext_tiny,translation,1,0.0025,0.432,,0.438,,0.724,,0.35,
ImageNet,convnext_tiny,brightness,1,0.0025,0.521,,0.501,,0.869,,0.43,
ImageNet,convnext_tiny,noise,28518,71.295,0.6127168431693119,0.0668278660780761,0.5684714695352919,0.05611180482452266,0.8973255194444059,0.09635144630256183,0.47,
ImageNet,convnext_tiny,jpeg,1,0.0025,0.562,,0.519,,0.878,,0.44,
ImageNet,vit_b_16,rotation,14268,35.67,0.4966738428560198,0.02038151812268495,0.48977268035208976,0.01740028615268925,0.7624527970623963,0.25438027777995,0.4,
ImageNet,vit_b_16,translation,1,0.0025,0.448,,0.443,,0.712,,0.38,
ImageNet,vit_b_16,brightness,1,0.0025,0.553,,0.512,,0.842,,0.44,
ImageNet,vit_b_16,noise,29182,72.955,0.7680629443684399,0.07956885341834154,0.6256523672456845,0.07871532299486265,0.8221680667228626,0.2619713443498436,0.57,
ImageNet,vit_b_16,jpeg,1,0.0025,0.589,,0.531,,0.852,,0.46,
COCO,resnet50,rotation,26430,88.1,0.4462973356122913,0.029724085461450365,0.4453623899897526,0.029772047004242724,0.644652311893471,0.10433083747489212,0.42748007696510304,0.053985379871068884
COCO,resnet50,translation,12,0.04,0.3576560616493225,0.02365954031046292,0.364418126642704,0.0278183550064987,0.609318345785141,0.10177289119567247,0.4891405322805144,0.04778311797411784
COCO,resnet50,brightness,13,0.043333333333333335,0.4716390623496129,0.04081884445133583,0.42517780569883495,0.039866434341521324,0.6759129693874946,0.15183708839425294,0.5286152303495775,0.11505420258207585
COCO,resnet50,noise,31319,104.39666666666668,0.606259003924381,0.08438161383752811,0.5325400057437034,0.06253674846182462,0.8252848312351498,0.1271733263338088,0.415475642100649,0.06962573838592474
COCO,resnet50,jpeg,9,0.03,0.40497683154212105,0.025568273308643485,0.3905171619521247,0.019901677429468523,0.6616166763835483,0.11618784356163486,0.5123042243165475,0.09033582993899604
COCO,densenet121,rotation,15519,51.73,0.4397557219249762,0.03112440936273291,0.43679296022085534,0.031832467906580335,0.660654171968107,0.10468401022679341,0.42741950052595196,0.0416528019932076
COCO,densenet121,translation,7,0.023333333333333334,0.34014040657452177,0.03202584539306811,0.33867548193250385,0.03919388477242178,0.5946621383939471,0.07107844379985184,0.465720185460915,0.0438778049252795
COCO,densenet121,brightness,5,0.016666666666666666,0.5163682043552399,0.06368887382993928,0.4417121589183807,0.042540212548062305,0.8235749840736389,0.10995583436571253,0.5262381343083565,0.10800748913845518
COCO,densenet121,noise,27194,90.64666666666666,0.58489719041899,0.09466635638061129,0.5188217979170272,0.07103216440128159,0.8293902662985376,0.13877301938804892,0.4320913658422582,0.05749719751337608
COCO,densenet121,jpeg,6,0.02,0.3774619350830714,0.03745450042758037,0.3671089957157771,0.023771598221096212,0.7074615955352783,0.08988709175461876,0.49484771776809594,0.0908581822483008
COCO,convnext_tiny,rotation,13833,46.11,0.47394827722227684,0.02422519009834324,0.47542646557021573,0.022538105692004016,0.6918644323392432,0.11863922962979691,0.44829258268823674,0.05601676124493521
COCO,convnext_tiny,translation,10,0.03333333333333333,0.38987607657909396,0.03893422480741757,0.39345512092113494,0.03353913093942335,0.5450081348419189,0.099673054000179,0.49153009863033187,0.0585994636162148
COCO,convnext_tiny,brightness,12,0.04,0.5483177577455839,0.1076257686048584,0.5055024872223536,0.09029592849587119,0.8062767088413239,0.1232388781302222,0.5564666343157433,0.11996668950671219
COCO,convnext_tiny,noise,18843,62.81,0.5972058013155096,0.06562097439913553,0.5681480504044528,0.055220432165786586,0.8379988123775509,0.12237412128837344,0.4224297901341965,0.06450478196876927
COCO,convnext_tiny,jpeg,3511,11.703333333333333,0.41623615438494715,0.032390667274695695,0.4114283216335739,0.03192924182134945,0.5817539811694564,0.12919327577920156,0.47556484562243906,0.0857468859223496
COCO,vit_b_16,rotation,13632,45.440000000000005,0.48136669340512844,0.01988361933938908,0.48088359874082914,0.019497975515241097,0.7518927187313427,0.22129461989804078,0.4287450253662056,0.05382443693691221
COCO,vit_b_16,translation,10,0.03333333333333333,0.4052787274122238,0.02389261307709287,0.40372333228588103,0.02634711604304906,0.715911865234375,0.22924234160217832,0.44489261657656026,0.049122162741518184
COCO,vit_b_16,brightness,8,0.02666666666666667,0.557945292443037,0.07216207385121069,0.5146710276603699,0.045555532782207295,0.6374155730009079,0.3075769333439827,0.5171821581465857,0.10926513913620844
COCO,vit_b_16,noise,22997,76.65666666666667,0.7551957721471133,0.07189277160342226,0.6469062758773991,0.06576666224159447,0.8493745626457547,0.2316593724762105,0.41271302233571594,0.060817938924992716
COCO,vit_b_16,jpeg,80,0.26666666666666666,0.5289910733699799,0.04587679658661912,0.49397102035582063,0.03957761547685277,0.6584445115178823,0.21759350042883338,0.48916455013538473,0.09217256131209353
