model,perturbation,mean,std,count
resnet50,rotation,0.2822558789884531,0.026182275811078886,3720
resnet50,noise,0.2841053987533573,0.028237679497706992,2695
resnet50,brightness,0.34588848084868634,0.04789062772965895,3718
resnet50,translation,0.3460219838745159,0.045666224390376924,5661
resnet50,jpeg,0.34963347956679364,0.04807007740465118,9078
densenet121,rotation,0.2788572228736942,0.026504164263410394,2073
densenet121,noise,0.27326848474669724,0.029259447783558233,1238
densenet121,brightness,0.3379030672465634,0.04445698769502721,7082
densenet121,translation,0.3386867518947118,0.04875760785395955,3411
densenet121,jpeg,0.3441297470280454,0.050520815439300044,9304
convnext_tiny,rotation,0.2952853882279844,0.026490378660194297,4525
convnext_tiny,noise,0.28816264384673945,0.028866247936837317,1169
convnext_tiny,brightness,0.3561226007683555,0.045725712163732515,5782
convnext_tiny,translation,0.3620460387301634,0.047357946133116224,9475
convnext_tiny,jpeg,0.36351203395141485,0.04728204690699203,9277
vit_b_16,rotation,0.27970537108576304,0.027636179182829856,3606
vit_b_16,noise,0.28728426964393733,0.029593428986158674,2928
vit_b_16,brightness,0.35748282367583417,0.050816019629482644,6329
vit_b_16,translation,0.36791923975027313,0.05572904220485618,8604
vit_b_16,jpeg,0.43714028414697986,0.04990898589448318,8163
